DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
;;14,9;;;0,0014;10905
3599,8;3269,7;;0,3757;0,4269;;
;;14,9;;;0,0013;11080
3614,7;3285,4;;0,377;0,4282;;
;;14,9;;;0,0013;11321
3629,6;3301,1;;0,3784;0,4295;;
;;14,9;;;0,0013;11548
3644,5;3316,8;;0,3797;0,4308;;
;;14,9;;;0,0013;11685
3659,5;3332,5;;0,381;0,4321;;
;;14,9;;;0,0013;11695
3674,4;3348,2;;0,3823;0,4334;;
;;14,9;;;0,0013;11556
3689,3;3363,9;;0,3836;0,4347;;
;;14,9;;;0,0013;11314
3704,3;3379,6;;0,3849;0,436;;
;;14,9;;;0,0013;11076
3719,2;3395,3;;0,3863;0,4373;;
;;14,9;;;0,0014;10910
3734,2;3411;;0,3877;0,4387;;
;;14,9;;;0,0014;10850
3749,1;3426,7;;0,3891;0,4401;;
;;14,9;;;0,0014;10918
3764;3442,4;;0,3905;0,4415;;
;;14,9;;;0,0013;11092
3779;3458,1;;0,3918;0,4428;;
;;15;;;0,0013;11302
3793,9;3473,8;;0,3932;0,4441;;
;;15;;;0,0013;11497
3808,9;3489,5;;0,3945;0,4454;;
;;15;;;0,0013;11669
3823,8;3505,2;;0,3958;0,4467;;
;;15;;;0,0013;11755
3838,8;3520,9;;0,3971;0,448;;
;;15;;;0,0013;11755
3853,8;3536,6;;0,3984;0,4493;;
;;15;;;0,0013;11703
3868,7;3552,3;;0,3997;0,4505;;
;;15;;;0,0013;11586
3883,7;3568;;0,401;0,4518;;
;;15;;;0,0013;11434
3898,7;3583,7;;0,4023;0,4531;;
;;15;;;0,0013;11253
3913,6;3599,4;;0,4037;0,4545;;
;;15;;;0,0014;11079
3928,6;3615,1;;0,4051;0,4558;;
;;15;;;0,0014;10964
3943,5;3630,8;;0,4065;0,4572;;
;;15;;;0,0014;10937
3958,5;3646,5;;0,4079;0,4585;;
;;15;;;0,0014;11011
3973,4;3662,2;;0,4093;0,4599;;
;;15;;;0,0013;11161
3988,4;3677,9;;0,4106;0,4612;;
;;15;;;0,0013;11369
4003,4;3693,6;;0,412;0,4626;;
